,Label,Outcomes,,,,,,
0,Physical,levels of influenza-specific IgA and IgG antibodies .,1,,,when is the word levels relevant,N-and-N-N,
1,Physical,Western Ontario and McMaster Universities Osteoarthritis Index ( WOMAC ) score,3,,results/tools,score  ,result containing score,
2,Physical,insulin or glucose area under the curve values,3,,results/tools,Values,result containing values,
3,Physical,glucose and insulin responses,1,,,,N-and-N,
4,Other,"AUCtau , t1/2 , and time to attain steady state of BMS-181101",2,,", and",Abbreviations,V-N-of-N,
5,Mental,popularity and loneliness,2,,and,,N-and-N,
6,Adverse-effects,vomiting and hematologic toxicity,1,,,,N-and-N-N,
7,Physical,Serum folate and vitamin B12 levels,1,,,,N-and-N-Nu-Levels,
8,Physical,total and non-HDL cholesterol and apo B levels,1,,,,N-and-N-N-and-N-Levels,
9,Physical,Intake and serum levels of vitamin B12 and folate,1,,and,,N-and-N-Levels,
10,Physical,"serum folate ( negative correlation ) , plasma creatinine , and sugar intake",2,,", and",examine brackets,N-N-N-and-N,
11,Physical,Nonfasting serum lipid and lipoproteins and plasma tHcy and cysteine levels,1,,and,,N-and-N-and-N-N-Levels,`
12,Physical,"lipid , apo B , lipoprotein ( a ) [ Lp ( a ) ] , and total homocysteine ( tHcy ) levels",2,,", and",examine brackets,N-N-N-and-N-Levels,
13,Physical,Equilibration of creatinine and urea,1,,,,N-and-N,
14,Physical,"oxidative stress ( MDA , GSH )",1,,,examine brackets,N-N,
15,Physical,fall of MDA and SOD,1,,,,N-and-N,
16,Pain,consisting mostly of mild or moderate pain,1,,,,A-or-A-N,
17,Other,Local and systemic safety profiles,0,,,,,
18,Pain,"pain relief ,",2,,",",,N,
19,Other,Use and limitations,0,,,,,
20,Other,"beta , t ( 1/2 ) , and t ( max )",3,results,,,,
21,Other,parameters of k and beta,0,results,,,,
22,Physical,and significantly improved lung function,2,,and,,And-A-V-N-N,
23,Physical,factors IX and X,3,results,,,,
24,Mental,general distress or cancer-specific distress,2,,or,,A-N-or-N.A-N,Mental
25,Mental,adaptive coping and indicators of psychological growth,2,,and,,A-A-and-N-of-N-N,
26,Physical,Gross Motor Function Measure ( dimension B for balance and the Total Score ),4,and in brackets,,eaxmine brackets,A-N-N-N,
27,Physical,therapeutic times and cured rate,2,,and,,N-and-N,
28,Physical,high-density lipoprotein cholesterol and triglyceride levels .,1,,,,N-and-N-Levels,
29,Physical,blood pressure or plasma triglyceride concentration,2,,or,,N-or-N,
30,Other,average number of horizontal overlaps for the loop and holder techniques,0,results,,,,
31,Adverse-effects,periods of drowsiness or sleep,2,,or,,N-or-N,
32,Physical,Respiratory and cardiovascular functions,1,,,,N-and-N,
33,Other,retention and participation rates,0,,,,N-and-N,
34,Physical,"with cough , and with movement of the ipsilateral arm , forced expiratory volume in 1 second ( FEV1 )",2,,", and",,"N-and-N-,-N-,-N",simply split
35,Physical,VBL and HBL,2,,and,abbreviations,N-and-N,
36,Physical,relative vertical and horizontal clinical attachment level ( RVCAL and RHCAL ),1,,and,examine brackets,A-and-A-N-N-Level,
37,Physical,clinical and osseous attachment levels,1,,,,N-and-N-Levels,
38,Physical,vertical and horizontal bone level ( VBL and HBL ),1,,,examine brackets,A-and-A-N-level,
39,Mental,abstinence ;,2,,;,,N,simply split
40,Mental,"negative abstinence-specific functional support ( Complaints about Drug Use , Drug Exposure , and Demoralization ) predicted cocaine",4,", in brackets",,examine brackets,"A-NA-N-N (P-N-,-N-and-N)",
41,Physical,"B ( the VLDL particle concentration ) , VLDL lipids",5,unconnected,,examine brackets,N-N-N,get rid of 
42,Physical,"VLDL-apoB , apoCIII",2,,",",abbreviations,,
43,Physical,apoCIII in VLDL and LDL,1,,,abbreviations,,
44,Physical,LDL- and HDL-cholesterol,1,,,abbreviations,,
45,Physical,apoCIII and apoE in VLDL+LDL and in HDL,1,,,abbreviations,,
46,Physical,"VLDL , apolipoproteins B , CIII , and E",2,,",",abbreviations,,
47,Physical,"major cardiovascular events ( myocardial infarction , stroke , and",2,,", and",,,
48,Physical,and absorption,2,,and,,,
49,Physical,decrease in ambulatory daytime diastolic and mean arterial BP,2,,and,deal with decrease,,
50,Physical,clinic and ambulatory BPs,1,,,,,
51,Adverse-effects,generalized and intense erythema in cervix,1,,,,,
52,Adverse-effects,"ulcer , exulceration , or de-epithelialization",2,,", or",,,
53,Adverse-effects,irritation or symptom,2,,or,deal with symptom,,
54,Physical,Western Ontario and McMaster Universities Osteoarthritis Index ( WOMAC ) function scale,3,results/tools,,,,
55,Physical,"oxygenation level or systolic blood pressure . Diastolic blood pressure , respiration and pulse",2,,", or",,,
56,Physical,Arterial ( SaO2 ) blood saturation and vital signs,2,,and,,,
57,Physical,basal diurnal and total secretion of salivary cortisol,2,,and,,,
58,Physical,time interval between anti-parkinson pharmacy intake and sampling,1,,,,,
59,Physical,"age , gender , BMI",2,,",",age and gender unnecessary,,
60,Physical,duration and severity of PD,1,,,,,
61,Physical,"levodopa doses , duration , or severity of PD",2,,", or",,,
62,Physical,assess and compare cortisol concentrations,2,,,,,
63,Physical,"impact of age , gender , body mass index ( BMI )",2,,",",,,
64,Physical,Short- and long-term effects,0,,,"short, long",,
65,Mortality,rehospitalization for cardiovascular or renal reasons,1,,,,,
66,Other,efficacy and safety,2,,and,,,
67,Physical,plasma and LDL alpha-tocopherol contents,1,,,,,
68,Physical,occurring between admission and discharge ( or,0,,,,,
69,Physical,Functional and,2,,and,,,
70,Physical,"Intracellular adhesion molecule ( ICAM ) , IL-8 , and TNF-R levels",1,,,,,
71,Physical,febrile neutropenia and grade 3/4 infections,2,,and,,,
72,Physical,", myocardial infarction , or target vessel revascularization",2,,",",,,
73,Physical,", myocardial infarction , target vessel revascularization , or stent thrombosis",2,,", or",,,
74,Physical,iNOS expression and NO production,2,,and,,,
75,Other,"agreement between the treatment categories assigned by the nurses ( low , moderate or high risk ) and those assigned by the independent assessor",0,,,,,
76,Other,difference between the 10-year cardiovascular risk percentage calculated by nurses and an independent assessor,0,,,,,
77,Physical,"deep probing depth , deep clinical attachment level , and bleeding on probing",2,,",",,,
78,Physical,"oral health impacts ( perceived impacts on bleeding gums , gingival recession , sensitivity to cold , packing foods , aesthetics , bad breath , and tooth mobility )",2,,",",,,
79,Physical,symptoms and poorer well-being,2,,and,,,
80,Physical,ventricular dimensions and systolic dysfunction . NT-proBNP,2,,"And ,",,,
81,Mental,", and memory .",2,,", and",,,
82,Physical,"motor tracking task , standing steadiness",2,,",",,,
83,Adverse-effects,Maternal oversedation and vomiting,2,,and,,,
