,Label,Outcome
0,Adverse-effects,Major complications
1813,Adverse-effects,liver involvement
1814,Adverse-effects,motor recovery
1815,Adverse-effects,recurrent venous thromboembolism
1816,Adverse-effects,severity
1817,Adverse-effects,rate of major complications
1818,Adverse-effects,endometrial hyperplasia
1819,Adverse-effects,"atypical absences, tonic and partial seizures"
1820,Adverse-effects,types of complications
1821,Adverse-effects,adverse events or side effects
1822,Adverse-effects,HAM-D 17 reduction
1823,Adverse-effects,no urine leakage or formation of urinoma
1824,Adverse-effects,conjunctiva
1825,Adverse-effects,incidence of croup
1826,Adverse-effects,mucous discharge
1827,Adverse-effects,mild or moderate skin toxicity
1828,Adverse-effects,gastrointestinal
1829,Adverse-effects,failure load
1830,Adverse-effects,incidence of intracerebral hemorrhages
1831,Adverse-effects,two Grade II reactions
1832,Adverse-effects,decrease alcohol intake
1833,Adverse-effects,fall in intraocular pressure
1834,Adverse-effects,anesthesia complications. Major bleeding complications
1835,Adverse-effects,Falls
1812,Adverse-effects,insomnia
1811,Adverse-effects,new lesions
1810,Adverse-effects,insulin secretion
1809,Adverse-effects,prevention of postoperative nausea and vomiting
1785,Adverse-effects,immediate (anaphylactic type)
1786,Adverse-effects,"side effect, primarily diarrhea, vomiting, or diaper rash"
1787,Adverse-effects,percentage
1788,Adverse-effects,incidence of diclofenac-related GI complaints and abnormal laboratory values
1789,Adverse-effects,"energy level, impulsiveness"
1790,Adverse-effects,effective
1791,Adverse-effects,short sequences of irregular 3-Hz spike-waves
1792,Adverse-effects,cardiac adverse events
1793,Adverse-effects,phenylalanine in plasma and urine
1794,Adverse-effects,mean elimination half-lives of the highest doses of recombinant human porphobilinogen deaminase
1795,Adverse-effects,adverse reactions
1836,Adverse-effects,Serum IgG or IgA responses
1796,Adverse-effects,"fever, fatigue, and anorexia"
1798,Adverse-effects,nausea
1799,Adverse-effects,late complication (port site hernia)
1800,Adverse-effects,rescue antiemetics
1801,Adverse-effects,therapeutic effect
1802,Adverse-effects,minor bleeding episodes
1803,Adverse-effects,CMV infection
1804,Adverse-effects,no effect
1805,Adverse-effects,oxygen uptake
1806,Adverse-effects,abnormal dreaming patterns
1807,Adverse-effects,"Weight and length gains and the incidences of severe stunting, underweight, and wasting"
1808,Adverse-effects,rise in serum creatinine
1797,Adverse-effects,Common Terminology Criteria for Adverse Events grade 3 and 4 adverse events (AEs)
1784,Adverse-effects,gastric and duodenal toxicity
1837,Adverse-effects,"acetate, butyrate, and total SCFA concentrations"
1839,Adverse-effects,number of infections per catheter days
1868,Adverse-effects,level of coma
1869,Adverse-effects,metabolic acidosis
1870,Adverse-effects,number of wound infections
1871,Adverse-effects,deaths
1872,Adverse-effects,diarrhea
1873,Adverse-effects,hyperplastic response
1874,Adverse-effects,"number of episodes of vomiting, the severity of nausea"
1875,Adverse-effects,major adverse cardiovascular event (MACE)
1876,Adverse-effects,hemato-immunological parameters
1877,Adverse-effects,joint swelling indices
1878,Adverse-effects,improves insulin sensitivity
1879,Adverse-effects,Diarrhea
1880,Adverse-effects,insulin-like growth factor I
1881,Adverse-effects,grade 3/4 febrile neutropaenia
1882,Adverse-effects,Superoxide dismutase and glutathione peroxidase activity
1883,Adverse-effects,UKU side-effect scale
1884,Adverse-effects,manual dexterity and ambulation
1885,Adverse-effects,acute AEs
1886,Adverse-effects,stomatitis
1887,Adverse-effects,"Adverse events, mostly gastrointestinal"
1888,Adverse-effects,"significant toxic effects included nausea and vomiting, hypotension, leukopenia, thrombocytopenia, and evidence of hepatic toxicity"
1889,Adverse-effects,blurring of vision and light sensitivity
1890,Adverse-effects,self-reported adverse events
1867,Adverse-effects,rates of discontinuation because of inadequate heartburn control
1866,Adverse-effects,alpha frequency
1865,Adverse-effects,temporal processing
1864,Adverse-effects,Antibody responses
1840,Adverse-effects,effect sizes
1841,Adverse-effects,"expression of c-erbB-2/neu oncoprotein, epidermal growth factor receptor, cathepsin D, progesterone receptor and tumor associated glycoprotein-72"
1842,Adverse-effects,lower incidence of both local and systemic adverse events
1843,Adverse-effects,physiological (heart rate and oxygen saturation) and behavioural parameters [ duration of crying and modified Neonatal Facial Coding Scores (NFCS) ]
1844,Adverse-effects,anastomotic stricture
1845,Adverse-effects,substantial rash
1846,Adverse-effects,quality of analgesia and side-effects
1847,Adverse-effects,epithelial cells
1848,Adverse-effects,major bleeding complication
1849,Adverse-effects,Plasma methylprednisolone concentrations
